2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
43.85585447,46.29892292,48.02386998,41.10325644,42.13612079,44.65258917,47.93927829,46.80513843,46.74947623,51.42675037,48.71799114
35.05152127,35.56008141,35.56572138,30.24238614,30.96073151,32.40672032,34.62216967,33.67375096,31.92291916,36.44925834,34.77642323
28.32294659,29.07718206,29.51365118,25.75436103,26.53715949,28.18532137,30.37972111,29.58151855,26.98429628,30.48882095,29.67454429
58.03782132,61.1269432,60.02036046,51.54548361,51.96515715,53.79150873,54.58906039,51.93942974,52.83790398,61.41768088,56.37378858
47.70806128,49.89222336,50.32724029,42.80190812,43.81402651,46.41213648,49.98762616,48.62985823,49.16971934,53.55997768,50.91628047
102.1759193,103.5538401,97.66669518,74.8099658,70.867361,76.1318384,82.79284271,76.43058895,68.3400181,90.65539102,106.1771972
7.43073738,7.687713682,7.912274844,7.078860323,7.570931655,8.381881346,9.447655897,9.874336326,10.1483424,12.21934187,13.97444925
13.01075559,13.55834113,14.18194868,12.56005142,12.37881176,13.81549995,15.50450894,15.70001358,15.8168204,18.05027944,18.68800449
4.004789795,4.187739746,3.104653809,2.124662598,2.187727539,2.638325439,3.0965625,3.661457764,3.751737305,4.827845703,4.533975586
14.36770942,15.72965247,16.5510182,14.26396458,15.00831324,16.88540739,19.18635959,19.61554915,20.38185578,23.8496157,25.06480891
8.930729912,9.497206476,10.03134215,8.976954489,9.404381259,10.72797086,12.49442358,12.95799911,13.04745666,14.94662497,15.78680174
17.4983539,18.27600955,18.71998814,16.39088217,16.5634405,17.585197,19.48639368,19.38189055,19.55209111,21.76814867,21.25680843
22.64180512,23.50328249,24.24717332,20.89016643,21.67835947,23.51402546,26.12374713,26.04244635,25.55842905,29.3310647,28.4393341
13.43966456,13.97918556,14.00116034,12.09851203,12.5799227,13.59225452,15.04003692,15.1209029,14.26990885,17.80903239,18.570404
17.40320533,19.05600192,20.26106673,17.40203761,18.29534293,20.43776538,23.16584948,23.42448471,23.59524368,27.94370122,28.24709599
13.84733794,15.00749186,15.74239134,13.7864568,14.33175159,15.69511515,17.86503109,17.88334941,18.09620271,20.93039824,21.77950426
0.6989,0.7199,0.7304,0.7555,0.7748,0.7862,0.7992,0.8253,0.8611,0.8985,0.9434
0.5502,0.5776,0.645,0.7355,0.8276,0.8973,0.9278,0.9452,0.9802,0.9993,0.9865
0.6788,0.7044,0.7355,0.7356,0.7638,0.7761,0.7928,0.8064,0.8289,0.8663,0.8906
0.696,0.7369,0.7742,0.8047,0.8263,0.8586,0.8757,0.8878,0.906,0.917,0.9208
0.7723,0.7968,0.8209,0.8444,0.863,0.8774,0.8905,0.9047,0.9308,0.9529,0.9543
0.6118,0.6272,0.6439,0.6611,0.688,0.7191,0.7417,0.7657,0.7857,0.7977,0.8015
0.4456,0.4537,0.4638,0.4845,0.5048,0.5382,0.557,0.5762,0.5987,0.6187,0.6226
0.5058,0.5335,0.5705,0.5977,0.6181,0.6469,0.6718,0.6976,0.7291,0.7628,0.7898
0.6939,0.7129,0.7464,0.7936,0.8393,0.8764,0.8931,0.9146,0.9358,0.9587,0.963
0.5638,0.5934,0.6236,0.6298,0.6362,0.6536,0.6784,0.7078,0.7389,0.7721,0.7949
0.7779,0.797,0.8222,0.8479,0.8709,0.8949,0.9086,0.9278,0.9527,0.9721,0.997
0.4005,0.4411,0.4616,0.5005,0.5466,0.584,0.6214,0.6607,0.7005,0.749,0.7951
0.4332,0.4517,0.469,0.485,0.5042,0.5312,0.5924,0.6086,0.646,0.6712,0.6956
0.2021,0.2198,0.243,0.2462,0.2537,0.2589,0.2679,0.2771,0.3048,0.3349,0.3402
0.4989,0.5242,0.553,0.5757,0.5961,0.6008,0.6034,0.6096,0.6152,0.6134,0.6184
0.4879,0.5249,0.5573,0.5886,0.613,0.6701,0.7199,0.7434,0.7975,0.8646,0.9005
0.4421,0.4675,0.5061,0.5433,0.5702,0.6011,0.6491,0.6764,0.7178,0.748,0.8109
0.5268,0.5368,0.5593,0.5688,0.5748,0.5825,0.5881,0.5991,0.619,0.6342,0.6429
0.5215,0.5476,0.5664,0.5825,0.6188,0.6494,0.6651,0.6831,0.7118,0.7489,0.7819
